name	description
SNMPGetNext	Retrieves the value of the next Object ID of a specified device
SNMPSendTrap	Sends an SNMP trap containing a specific SNMP object assigned with a value
SNMPSetRequest	Sends an SNMP request containing a specific SNMP object assigned with a value
SNMPWalk	Retrieves a list of object ID''s of a specified device based on a given OID range
SNOWRAJFSetCatalogVariablesviaJSON	Set the RITM values provided
SNOWupdateCatalogVariable	Update the Variable in sc_item_option (Variable) table.
SNUpdateRecord	Updates an existing ServiceNow record
SNUploadAttachment	Uploads an attachment to an existing Service Now record
SNUploadAttachmentStandalone	Upload an attachment to a ServiceNow ticket without the use of an integration module.
SortTable	Sorts a table according to the selected column name or column number
Split	Splits a selected string into sub strings (according to a specified delimiter) and returns a one-dimensional table containing the sub strings
SplunkCreateEvent	Splunk Create Event
SplunkGetAlert	Splunk Get Alert
SplunkGetAlertEvents	Splunk Get Alert Events
SplunkGetDynamicAlertEvents	Retrieve dynamic list of alert events for a specific Splunk SID
SplunkGetEvents	Splunk Get Events
SplunkGetReport	Splunk Get Report
Sqr	Returns the square root of a specified number
StartCiscoSession	Starts a Cisco router session
StartFTPSession	Starts an FTP session
StartJsonSession	Start Json Session
StartSSHSession	Starts an SSH session
StartTelnetSession	Starts a Telnet Session
StartXMLSession	Starts an XML Session
StopWorkflow	Terminates all instances of a specified Workflow
StrComp	Compares two strings
StrReverse	Reverses a string
SubString	Extracts a sub string from a string according to its index and number of characters
SubStringByText	Extracts a sub string from a string according to a given start and end string
SumCells	Sums up a sequence of table cell values
SystemUptime	Returns the system''s uptime (in seconds)
TableDateFormatter	Convert a column of dates stored in a data table.
TableReplaceCellValues	Replace a text string with another across all cells in a table.
TableSearch	Return the rows and columns where a search string is found in a table.
TableToEventBody	Convert one or more rows from a table into an Event Body for use with the New Event activity.
TabletoXML	Converts a table to an XML 
Telnet	Runs a Telnet command
Terminate	Terminates the current branch in the current Workflow, even if it is the only branch
TerminateCiscoSession	Terminates a Cisco router session
TerminateFTPSession	Terminates an FTP session
TerminateSSHSession	Terminates an SSH session
TerminateTelnetSession	Terminates a Telnet Session
TerminateWorkflow	Terminates the entire current Workflow (all running branches)
Tester	tester
Tracert	Returns the route over the network between two systems
Trim	Removes both leading and trailing blank spaces from a string
TrimbyString	Removes specific characters from the beginning or the end of a given string
Truncate	Calculates the integral part of a specified decimal number
TSOMCreateEvent	Create a new event in TSOM based on defined properties
TSOMGetEvent	Return a list of TrueSight events that match the specified criteria
TSOMUpdateEvent	Update an event in TrueSight OM based on defined properties.
TSQLQuery	Executes a Select query on a Microsoft SQL database 
TSQLStatement	Executes a statement on a Microsoft SQL database
UcFirst	set first letter of string to upper case
UnlockExecutor	Unlocks a locked executor (follows a Lock Executor activity)
UnshareFolder	Removes the specified folder share
UpdateIncidentEvent	Updates the Incident with new information
UploadGoogleDriveFile	upload a file to google drive
UpperCase	Capitalizes all characters in a string
URLCheck	Checks the availability of a URL based on a return code or an existance of a specific phrase
UserAssignment	Assigns a user to handle the Incident which activated the workflow 
UserAuthentication	Validates a user''s access to a target machine
VMChangeVlan	VM Change Vlan
VMClone	Clones a Virtual Machine
VMCreate	Creates a Virtual Machine
VMCreateConfigurationSpec	Creates a Virtual Machine configuration specification file, used to clone a Virtual Machine
VMCreateFromTemplate	Creates a Virtual Machine from a template
VMCreateSnapshot	Snapshots a Virtual Machine''s state
VMCurrentSnapshot	Retrieves the name of the Virtual Machine''s current Snapshot
VMDelete	Deletes a Virtual Machine
VMDeleteAllSnapshots	Deletes all Snapshots of a Virtual Machine
VMDeleteConfigurationSpec	Deletes a Virtual Machine''s configuration specification
VMDeleteSnapshot	Deletes a selected Snapshot of a Virtual Machine
VMDiskInfo	Retrieve details on an individual disk.
VMExists	Checks whether or not a specific Virtual Machine exists
VMFolderCreate	Creates a Virtual Machine folder on a vCenter
VMHostEnterMaintenanceMode	Puts a host into maintenance mode
VMHostExitMaintenanceMode	Terminates the host''s maintenance mode
VMHostReboot	Reboots a host
VMInfo	Retrieves a Virtual Machine''s info
VMList	Retrieves a list of Virtual Machines on the entire vCenter or a specific host
VMListSnapshot	Retrieves a list of all Snapshots of a Virtual Machine
VMMarkTemplate	Converts a Virtual Machine to a template
VMModifyCPU	Modifies the count of CPUs of a Virtual Machine
VMModifyMemory	Modifies the Virtual Machine''s available memory
VMMountISO	Mounts an ISO image file on a Virtual Machine
VMNetworkAdapterDisable	Disable a VM''s network adapter.
VMNetworkAdapterEnable	Enable a VM''s network adapter.
VMPowerCLI	Allows executing any PowerCLI command on the vCenter or ESX
VMPowerOff	Switches a Virtual Machine off
VMPowerOn	Switches a Virtual Machine on
VMPowerState	Retrieves the current power state of a Virtual Machine
VMReboot	Reboots a Virtual Machine
VMRename	Renames a Virtual Machine
VMRenameSnapshot	Renames a Snapshot of a Virtual Machine
VMReset	Resets a Virtual Machine
VMResizeDisk	Resizes a Virtual Machine''s disk
VMReverttoCurrentSnapshot	Reverts to the current Snapshot of a Virtual Machine
VMReverttoSnapshot	Reverts to a Snapshot of a Virtual Machine
VMShutdown	Shuts down a Virtual Machine
VMSnapshotInfo	Retrieves the info of a Virtual Machine''s selected Snapshot
VMStandby	Puts a Virtual Machine into standby mode
VMSuspend	Suspends a Virtual Machine
VMTemplateDelete	Delete a VM template.
VMTemplateRename	Rename a VM template.
VMUnmarkTemplate	Converts a template to a Virtual Machine
Wait	Pauses the Workflow for a specified period of time
WaitforCMD	Pauses the Workflow until an eyeShareDev CMD message that complies with a specified condition is received
WaitForEmail	Pauses the Workflow until an email that complies with a specified condition is received
WakeonLan	Turns on a selected machine using its MAC address
WebServiceResponse	Respond to Ayehu web service request.
WhileActivity	Runs an activity or a group of activities for a number of iterations, dictated by an Exit While activity
WMI	Queries a WMI object
WorkflowCounter	Returns the number of currently active instances of the selected Workflow
WriteBaseSixtyFourStringToFile	Write a Base64 encoded string to a file.
WriteCSV	Produces a CSV file out of a table
WriteFile	Creates a new plain text file
WriteXLS	Produces an excel file out of a table
XCHAddDistributionGroupMember	Adds a user to an MS Exchange distribution group
XCHDisableMailbox	Disables an MS Exchange mailbox
XCHEnableMailbox	Enables an MS Exchange mailbox
XCHGetMailbox	Retrieves an MS Exchange mailbox''s object attributes
XCHGetMailboxDatabase	Retrieves a mailbox''s database object from an Exchange server
XCHGetMailboxPermission	Retrieves an MS Exchange mailbox''s permissions
XCHGetMailboxServer	Retrieves mailbox’s server objects from an MS Exchange server
XCHGetMailboxStatistics	Retrieves an MS Exchange mailbox size,  number of messages and the last time it was accessed
XCHManagementShell	Execute an MS Exchange powershell command
XCHNewMailbox	Creates a new mailbox in an MS Exchange server
XCHRemoveDistributionGroupMember	Removes a user from an MS Exchange distribution group
XCHRemoveMailboxContent	Deletes all emails from a user’s MS Exchange mailbox
XCHSetMailbox	Modifies an attribute of an MS Exchange mailbox
XMLAddAttribute	Adds the specified attribute as the last node in the collection
XMLAddNode	Adds a new node in the specified Xpath
XMLDeleteAttribute	Removes the selected attribute from the specified Xpath
XMLDeleteNodebyXpath	Deletes an XML node according to its path
XMLEditAttribute	Changes a specified XML attribute’s value
XMLEditNode	Changes a specified XML node''s value 
XMLElementstoTable	Converts a specific table with its attributes within the specified XML to a table variable
XMLEvaluateXpathExpression	Queries for an XML value
XMLtoTable	Converts a specific table within the specified XML to a table variable
ZipDecompress	Extracts a selected compressed file
FileCopy	Copies a file to a specified destination
FileMove	Moves a file to a specified destination
FolderCopy	Copies a folder to a specified destination
VMHostList	Retrieves a list of VMware hosts
DisplayMultiValue	Displays multiple eyeShare variable values in the active logs
RunWorkflow	Runs an existing workflow
ZipCompress	Compresses files into a ZIP archive
SMTPSendEmail	Sends an email using SMTP
