name	description
BMCHelixRemedyforceExecuteSOQL	BMC Helix Remedyforce Execute SOQL
BMCHelixRemedyforceGetRecord	BMC Helix Remedyforce Get Record
BMCHelixRemedyforceUpdateRecord	BMC Helix Remedyforce Update Record
BMCITSMCreateRecord	BMC ITSM Create Record
BMCITSMGetRecord	BMC ITSM Get Record
BMCITSMUpdateRecord	BMC ITSM Update Record
BMCRemedyAddWorkLog	Creates a new Work Log and saves it to an existing record in BMC Remedy
BMCRemedyCreateRecord	Creates a new record in a BMC Remedy form
BMCRemedyGetRecord	Retrievs a list of matching records of a specific BMC Remedy form
BMCRemedyUpdateRecord	Updates a record in a BMC Remedy form
BuildNetsuiteAuth	build auth header for accessing Netsuite
BuildRandomString	builds random alphanumeric string of specified length
CASAcknowledgeAlert	Acknowledges an existing alarm in the CA Spectrum console
CASCancelMaintenanceMode	Cancels the maintenance mode of a CA Spectrum model
CASClearAlert	Clears an existing alarm from CA Spectrum
CASCreateEvent	Creates a new event in CA Spectrum
CASSetMaintenanceMode	Puts the CA Spectrum model in maintenance mode
CASUnacknowledgeAlert	Unacknowledges an alarm in the CA Spectrum console
Ceiling	Returns the smallest integral value greater than or equal to the specified number
ChangeSeverity	Changes the severity level of an Incident
ChatGPTQuery	Send a query to ChatGPT and receive a response.
ChatGPTQueryPython	Send a query to ChatGPT and receive a response.
CherwellCreateJournal	Cherwell Create Journal
CherwellCreateRecord	Cherwell Create Record
CherwellDownloadAttachment	Cherwell Download Attachment
CherwellGetAttachmentList	Cherwell Get Attachment List
CherwellGetRecord	Cherwell Get Record
CherwellUpdateRecord	Cherwell Update Record
CherwellUploadAttachment	Cherwell Upload Attachment
CiscoChangeVlan	Cisco Change Vlan
CleanTable	Remove trailing and leading whitespace from all cells in a table.
ClearDisplayedIncident	Removes an Incident from eyeShareDev Dashboard
CloseIncident	Closes the Incident in eyeShareDev Dashboard
ConditionalWait	Puts the Workflow on hold until a specified condition applies
Contains	Checks if a sub string exists within a string/table
ConvertDateToFileTime	Convert a datetime formatted date to filetime format for use with Active Directory and other applications.
ConvertHexStringToDecimal	Return decimal version of a Hex string
ConvertHtmlToPlainText	Convert HTML to plaintext.
ConvertPasswordToPlaintext	Return plaintext version of an encrypted password variable.
ConvertTabletoCSV	Convert a result-set table to CSV.
ConvertTableToJSON	Convert a result-set table to JSON.
ConvertTextToTable	Converts a text variable into a table according to predefined column/row delimiters
ConvertToBaseSixtyFourString	Convert a string to Base64.
