ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
trailsList,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trainingUsersByAccount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trendMicroVersion,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trigger,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trim_BusinessOwner,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trim_ITOwner,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trim_Reporter,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trim_Requestor,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Trim_RequestorDisplayName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ticketUpdateResultsCounter,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,1,0
ticketUpdatesCount,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,1,0
Time_Difference,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
timestamp,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tldUsers,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Threshold,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ticketAssignedToGroup,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Today_date,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
todayMonth,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ticketNumber_PROPS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ticketNumList,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
