ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
StatusChangePEOS,27,Jira,BUSINESS,TRANSFORM,LEAF,1,0
StatusChangePlaces,27,Jira,BUSINESS,TRANSFORM,LEAF,1,0
StatusChangePROPS,27,Jira,BUSINESS,TRANSFORM,LEAF,1,0
StatusChangeSRES,27,Jira,BUSINESS,TRANSFORM,LEAF,1,0
StatusChangeUCC,7,INTERNAL,OTHER,TRANSFORM,LEAF,1,1
statusMappingRowCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
step,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
StillHighEmail,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
StillHighLM,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopAlertingService,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
StopOrionLog,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopService,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
StopVM,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopWorkflow_EXISTING,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopWorkflow_INVALID_USER,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopWorkflow1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopWorkflowBecauseOfFullDisks,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
stopWorkflowBecauseOfUnpingableIPs,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Storage,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Store_AccountName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_Alias,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_emailNotFound,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_FullName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_genEmail,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_logonNameNotFound,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_picLoc,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_setDB,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
store_userOU,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeCommandTable,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_CPSS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_DCO,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_IAMS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_L2O,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_NETOPS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_PEOS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_places,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_PROPS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_SRES,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeExistingTicket_UCC,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_CPSS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_DCO,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_IAMS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_L2O,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_NETOP,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_PEOS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_places,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_PROPS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_SRES,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeNewTicket_UCC,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeToolResult,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
storeUserInput,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
strComp1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
strReverse1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
subGroupCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
subGroupTable,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
subjtoTable,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tabletoXML1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tarballTableCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskList,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskListCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskListJsonSession,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskLoopCounter,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskNumber,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskShortDescription,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
telnet1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
temp_gateway,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
temp_ip,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
temp_subnet,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
temp_vlan,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
sysDictionaryReadFailed,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
